央视,#genre#
CCTV-1,http://39.135.139.214:6610/PLTV/88888888/224/3221225501/2/index.m3u8
CCTV-1,http://39.135.139.214:6610/PLTV/88888888/224/3221225618/2/index.m3u8
CCTV-1,http://39.135.139.214:6610/PLTV/88888888/224/3221225630/2/index.m3u8
CCTV-1,http://39.135.139.214:6610/PLTV/88888888/224/3221225642/2/index.m3u8
CCTV-1,http://39.135.139.214:6610/PLTV/88888888/224/3221225762/2/index.m3u8
CCTV-1,http://39.135.139.214:6610/PLTV/88888888/224/3221225790/2/index.m3u8
CCTV-1,http://39.135.139.214:6610/PLTV/88888888/224/3221225844/2/index.m3u8
CCTV-1,http://39.135.139.214:6610/PLTV/88888888/224/3221225573/2/index.m3u8
CCTV-1,http://39.135.139.214:6610/PLTV/88888888/224/3221225892/2/index.m3u8
CCTV-2,http://39.135.139.214:6610/PLTV/88888888/224/3221225500/2/index.m3u8
CCTV-2,http://39.135.139.214:6610/PLTV/88888888/224/3221225619/2/index.m3u8
CCTV-2,http://39.135.139.214:6610/PLTV/88888888/224/3221225643/2/index.m3u8
CCTV-2,http://39.135.139.214:6610/PLTV/88888888/224/3221225819/2/index.m3u8
CCTV-2,http://39.135.139.214:6610/PLTV/88888888/224/3221225820/2/index.m3u8
CCTV-2,http://39.135.139.214:6610/PLTV/88888888/224/3221225572/2/index.m3u8
CCTV-2,http://39.135.139.214:6610/PLTV/88888888/224/3221225893/2/index.m3u8
CCTV-2,http://39.135.139.214:6610/PLTV/88888888/224/3221225919/2/index.m3u8
CCTV-3,http://39.135.139.214:6610/PLTV/88888888/224/3221225647/2/index.m3u8
CCTV-3,http://39.135.139.214:6610/PLTV/88888888/224/3221225634/2/index.m3u8
CCTV-3,http://39.135.139.214:6610/PLTV/88888888/224/3221225791/2/index.m3u8
CCTV-3,http://39.135.139.214:6610/PLTV/88888888/224/3221225792/2/index.m3u8
CCTV-3,http://39.135.139.214:6610/PLTV/88888888/224/3221225807/2/index.m3u8
CCTV-4,http://39.135.139.214:6610/PLTV/88888888/224/3221225621/2/index.m3u8
CCTV-4,http://39.135.139.214:6610/PLTV/88888888/224/3221225841/2/index.m3u8
CCTV-4,http://39.135.139.214:6610/PLTV/88888888/224/3221225842/2/index.m3u8
CCTV-4,http://39.135.139.214:6610/PLTV/88888888/224/3221225571/2/index.m3u8
CCTV-4,http://39.135.139.214:6610/PLTV/88888888/224/3221225895/2/index.m3u8
CCTV-5,http://39.135.139.214:6610/PLTV/88888888/224/3221225633/2/index.m3u8
CCTV-5,http://39.135.139.214:6610/PLTV/88888888/224/3221225751/2/index.m3u8
CCTV-5,http://39.135.139.214:6610/PLTV/88888888/224/3221225752/2/index.m3u8
CCTV-5,http://39.135.139.214:6610/PLTV/88888888/224/3221225753/2/index.m3u8
CCTV-5,http://39.135.139.214:6610/PLTV/88888888/224/3221225754/2/index.m3u8
CCTV-5,http://39.135.139.214:6610/PLTV/88888888/224/3221225755/2/index.m3u8
CCTV-5,http://39.135.139.214:6610/PLTV/88888888/224/3221225756/2/index.m3u8
CCTV-5,http://39.135.139.214:6610/PLTV/88888888/224/3221225795/2/index.m3u8
CCTV-5,http://39.135.139.214:6610/PLTV/88888888/224/3221225796/2/index.m3u8
CCTV-5,http://39.135.139.214:6610/PLTV/88888888/224/3221225808/2/index.m3u8
CCTV-5+,http://39.135.139.214:6610/PLTV/88888888/224/3221225649/2/index.m3u8
CCTV-5+,http://39.135.139.214:6610/PLTV/88888888/224/3221225706/2/index.m3u8
CCTV-5+,http://39.135.139.214:6610/PLTV/88888888/224/3221225793/2/index.m3u8
CCTV-5+,http://39.135.139.214:6610/PLTV/88888888/224/3221225794/2/index.m3u8
CCTV-6,http://39.135.139.214:6610/PLTV/88888888/224/3221225632/2/index.m3u8
CCTV-6,http://39.135.139.214:6610/PLTV/88888888/224/3221225650/2/index.m3u8
CCTV-6,http://39.135.139.214:6610/PLTV/88888888/224/3221225843/2/index.m3u8
CCTV-6,http://39.135.139.214:6610/PLTV/88888888/224/3221225845/2/index.m3u8
CCTV-6,http://39.135.139.214:6610/PLTV/88888888/224/3221225809/2/index.m3u8
CCTV-7,http://39.135.139.214:6610/PLTV/88888888/224/3221225499/2/index.m3u8
CCTV-7,http://39.135.139.214:6610/PLTV/88888888/224/3221225624/2/index.m3u8
CCTV-7,http://39.135.139.214:6610/PLTV/88888888/224/3221225821/2/index.m3u8
CCTV-7,http://39.135.139.214:6610/PLTV/88888888/224/3221225894/2/index.m3u8
CCTV-7,http://39.135.139.214:6610/PLTV/88888888/224/3221225570/2/index.m3u8
CCTV-8,http://39.135.139.214:6610/PLTV/88888888/224/3221225631/2/index.m3u8
CCTV-8,http://39.135.139.214:6610/PLTV/88888888/224/3221225635/2/index.m3u8
CCTV-8,http://39.135.139.214:6610/PLTV/88888888/224/3221225847/2/index.m3u8
CCTV-8,http://39.135.139.214:6610/PLTV/88888888/224/3221225848/2/index.m3u8
CCTV-8,http://39.135.139.214:6610/PLTV/88888888/224/3221225810/2/index.m3u8
CCTV-9,http://39.135.139.214:6610/PLTV/88888888/224/3221225498/2/index.m3u8
CCTV-9,http://39.135.139.214:6610/PLTV/88888888/224/3221225646/2/index.m3u8
CCTV-9,http://39.135.139.214:6610/PLTV/88888888/224/3221225846/2/index.m3u8
CCTV-9,http://39.135.139.214:6610/PLTV/88888888/224/3221225811/2/index.m3u8
CCTV-9,http://39.135.139.214:6610/PLTV/88888888/224/3221225920/2/index.m3u8
CCTV-9,http://39.135.139.214:6610/PLTV/88888888/224/3221225626/2/index.m3u8
CCTV-10,http://39.135.139.214:6610/PLTV/88888888/224/3221225496/2/index.m3u8
CCTV-10,http://39.135.139.214:6610/PLTV/88888888/224/3221225569/2/index.m3u8
CCTV-10,http://39.135.139.214:6610/PLTV/88888888/224/3221225627/2/index.m3u8
CCTV-10,http://39.135.139.214:6610/PLTV/88888888/224/3221225636/2/index.m3u8
CCTV-10,http://39.135.139.214:6610/PLTV/88888888/224/3221225822/2/index.m3u8
CCTV-10,http://39.135.139.214:6610/PLTV/88888888/224/3221225888/2/index.m3u8
CCTV-11,http://39.135.139.214:6610/PLTV/88888888/224/3221225628/2/index.m3u8
CCTV-11,http://39.135.139.214:6610/PLTV/88888888/224/3221225568/2/index.m3u8
CCTV-11,http://39.135.139.214:6610/PLTV/88888888/224/3221225889/2/index.m3u8
CCTV-12,http://39.135.139.214:6610/PLTV/88888888/224/3221225495/2/index.m3u8
CCTV-12,http://39.135.139.214:6610/PLTV/88888888/224/3221225629/2/index.m3u8
CCTV-12,http://39.135.139.214:6610/PLTV/88888888/224/3221225637/2/index.m3u8
CCTV-12,http://39.135.139.214:6610/PLTV/88888888/224/3221225823/2/index.m3u8
CCTV-12,http://39.135.139.214:6610/PLTV/88888888/224/3221225890/2/index.m3u8
CCTV-12,http://39.135.139.214:6610/PLTV/88888888/224/3221225921/2/index.m3u8
CCTV-12,http://39.135.139.214:6610/PLTV/88888888/224/3221225567/2/index.m3u8
CCTV-13,http://39.135.139.214:6610/PLTV/88888888/224/3221225805/2/index.m3u8
CCTV-13,http://39.135.139.214:6610/PLTV/88888888/224/3221225566/2/index.m3u8
CCTV-13,http://39.135.139.214:6610/PLTV/88888888/224/3221225638/2/index.m3u8
CCTV-14,http://39.135.139.214:6610/PLTV/88888888/224/3221225494/2/index.m3u8
CCTV-14,http://39.135.139.214:6610/PLTV/88888888/224/3221225565/2/index.m3u8
CCTV-14,http://39.135.139.214:6610/PLTV/88888888/224/3221225639/2/index.m3u8
CCTV-14,http://39.135.139.214:6610/PLTV/88888888/224/3221225640/2/index.m3u8
CCTV-14,http://39.135.139.214:6610/PLTV/88888888/224/3221225806/2/index.m3u8
CCTV-14,http://39.135.139.214:6610/PLTV/88888888/224/3221225824/2/index.m3u8
CCTV-15,http://39.135.139.214:6610/PLTV/88888888/224/3221225641/2/index.m3u8
CCTV-15,http://39.135.139.214:6610/PLTV/88888888/224/3221225891/2/index.m3u8
CCTV-15,http://39.135.139.214:6610/PLTV/88888888/224/3221225564/2/index.m3u8
CCTV-17,http://39.135.139.214:6610/PLTV/88888888/224/3221225907/2/index.m3u8
CCTV-17,http://39.135.139.214:6610/PLTV/88888888/224/3221225908/2/index.m3u8
CCTV-17,http://39.135.139.214:6610/PLTV/88888888/224/3221225909/2/index.m3u8
CCTV-17,http://39.135.139.214:6610/PLTV/88888888/224/3221225911/2/index.m3u8
CCTV-17,http://39.135.139.214:6610/PLTV/88888888/224/3221225910/2/index.m3u8
CCTV-兵器科技,http://39.135.139.214:6610/PLTV/88888888/224/3221225518/2/index.m3u8
CCTV-第一剧场,http://39.135.139.214:6610/PLTV/88888888/224/3221225528/2/index.m3u8
CCTV-电视指南,http://39.135.139.214:6610/PLTV/88888888/224/3221225522/2/index.m3u8
CCTV-风云剧场,http://39.135.139.214:6610/PLTV/88888888/224/3221225524/2/index.m3u8
CCTV-风云音乐,http://39.135.139.214:6610/PLTV/88888888/224/3221225529/2/index.m3u8
CCTV-风云足球,http://39.135.139.214:6610/PLTV/88888888/224/3221225523/2/index.m3u8
CCTV-高尔夫网球,http://39.135.139.214:6610/PLTV/88888888/224/3221225521/2/index.m3u8
CCTV-老故事,http://39.135.139.214:6610/PLTV/88888888/224/3221225517/2/index.m3u8
CCTV-女性时尚,http://39.135.139.214:6610/PLTV/88888888/224/3221225526/2/index.m3u8
CCTV-女性时尚,http://39.135.139.214:6610/PLTV/88888888/224/3221225814/2/index.m3u8
CCTV-世界地理,http://39.135.139.214:6610/PLTV/88888888/224/3221225527/2/index.m3u8
CCTV-卫生健康,http://39.135.139.214:6610/PLTV/88888888/224/3221225525/2/index.m3u8
CCTV-新科动漫,http://39.135.139.214:6610/PLTV/88888888/224/3221225516/2/index.m3u8
CCTV-央视文化精品,http://39.135.139.214:6610/PLTV/88888888/224/3221225520/2/index.m3u8
CCTV-中学生,http://39.135.139.214:6610/PLTV/88888888/224/3221225515/2/index.m3u8
CETV-1,http://39.135.139.214:6610/PLTV/88888888/224/3221225917/2/index.m3u8
CETV-1,http://39.135.139.214:6610/PLTV/88888888/224/3221225865/2/index.m3u8
CETV-1,http://39.135.139.214:6610/PLTV/88888888/224/3221225563/2/index.m3u8
CETV-1,http://39.135.139.214:6610/PLTV/88888888/224/3221225661/2/index.m3u8
CETV-4,http://39.135.139.214:6610/PLTV/88888888/224/3221225937/2/index.m3u8
CETV-4,http://39.135.139.214:6610/PLTV/88888888/224/3221225969/2/index.m3u8
CETV-早期教育,http://39.135.139.214:6610/PLTV/88888888/224/3221225513/2/index.m3u8
CGTN记录,http://39.135.139.214:6610/PLTV/88888888/224/3221225645/2/index.m3u8
CGTN英语,http://39.135.139.214:6610/PLTV/88888888/224/3221225747/2/index.m3u8
CGTN,http://39.135.139.214:6610/PLTV/88888888/224/3221225896/2/index.m3u8
CNC英文,http://39.135.139.214:6610/PLTV/88888888/224/3221225693/2/index.m3u8
CNC中文,http://39.135.139.214:6610/PLTV/88888888/224/3221225694/2/index.m3u8

NewTV,#genre#
NewTV爱情喜剧,http://39.135.139.214:6610/PLTV/88888888/224/3221225748/2/index.m3u8
NewTV搏击,http://39.135.139.214:6610/PLTV/88888888/224/3221225656/2/index.m3u8
NewTV超级电视剧,http://39.135.139.214:6610/PLTV/88888888/224/3221225625/2/index.m3u8
NewTV超级电视剧,http://39.135.139.214:6610/PLTV/88888888/224/3221225765/2/index.m3u8
NewTV超级电影,http://39.135.139.214:6610/PLTV/88888888/224/3221225623/2/index.m3u8
NewTV超级电影,http://39.135.139.214:6610/PLTV/88888888/224/3221225766/2/index.m3u8
NewTV超级体育,http://39.135.139.214:6610/PLTV/88888888/224/3221225622/2/index.m3u8
NewTV超级体育,http://39.135.139.214:6610/PLTV/88888888/224/3221225648/2/index.m3u8
NewTV超级体育,http://39.135.139.214:6610/PLTV/88888888/224/3221225767/2/index.m3u8
NewTV超级综艺,http://39.135.139.214:6610/PLTV/88888888/224/3221225620/2/index.m3u8
NewTV超级综艺,http://39.135.139.214:6610/PLTV/88888888/224/3221225768/2/index.m3u8
NewTV潮妈辣婆,http://39.135.139.214:6610/PLTV/88888888/224/3221225708/2/index.m3u8
NewTV动作电影,http://39.135.139.214:6610/PLTV/88888888/224/3221225671/2/index.m3u8
NewTV古装剧场,http://39.135.139.214:6610/PLTV/88888888/224/3221225678/2/index.m3u8
NewTV健康有约,http://39.135.139.214:6610/PLTV/88888888/224/3221225666/2/index.m3u8
NewTV金牌综艺,http://39.135.139.214:6610/PLTV/88888888/224/3221225711/2/index.m3u8
NewTV惊悚悬疑,http://39.135.139.214:6610/PLTV/88888888/224/3221225717/2/index.m3u8
NewTV精品大剧,http://39.135.139.214:6610/PLTV/88888888/224/3221225714/2/index.m3u8
NewTV精品记录,http://39.135.139.214:6610/PLTV/88888888/224/3221225710/2/index.m3u8
NewTV精品体育,http://39.135.139.214:6610/PLTV/88888888/224/3221225709/2/index.m3u8
NewTV军旅剧场,http://39.135.139.214:6610/PLTV/88888888/224/3221225669/2/index.m3u8
NewTV军事评论,http://39.135.139.214:6610/PLTV/88888888/224/3221225757/2/index.m3u8
NewTV农业致富,http://39.135.139.214:6610/PLTV/88888888/224/3221225670/2/index.m3u8
NewTV炫舞未来,http://39.135.139.214:6610/PLTV/88888888/224/3221225707/2/index.m3u8
NewTV中国功夫,http://39.135.139.214:6610/PLTV/88888888/224/3221225660/2/index.m3u8
NewTV家庭剧场,http://39.135.139.214:6610/PLTV/88888888/224/3221225713/2/index.m3u8
纯享4K,http://39.135.139.214:6610/PLTV/88888888/224/3221225786/2/index.m3u8

卫视,#genre#
